ano;trim;area;temp;nanz;capkg;lncapkg;lnnanz;lntemp;cpue;lcpue
1996;1;9;20;2.200;140,00;4,94;7,7;3;63,63636364;4,153185062
1996;2;9;24,2;14.500;385,00;5,95;9,58;3,19;26,55172414;3,279094685
1996;3;9;21,1;18.100;1220,00;7,11;9,8;3,05;67,40331492;4,210694199
1996;3;15;19;800;40,00;3,69;6,68;2,94;50;3,912023005
1996;4;9;21,6;5.400;700,00;6,55;8,59;3,07;129,6296296;4,864681381
1996;4;15;19,7;2.100;90,00;4,50;7,65;2,98;42,85714286;3,757872326
1997;1;9;26,1;2.400;100,00;4,61;7,78;3,26;41,66666667;3,729701449
1997;2;9;25,7;8.420;300,00;5,70;9,04;3,25;35,62945368;3,573172646
1997;2;15;23,4;3.600;170,00;5,14;8,19;3,15;47,22222222;3,854864592
1997;3;9;21,5;4.560;460,00;6,13;8,43;3,07;100,877193;4,613903866
1997;3;14;17,4;7.200;5445,00;8,60;8,88;2,85;756,25;6,628372009
1997;3;15;15,9;5.400;340,00;5,83;8,59;2,77;62,96296296;4,142546664
1997;4;9;22,1;7.300;480,00;6,17;8,9;3,09;65,75342466;4,185911756
1997;4;14;22;7.200;760,00;6,63;8,88;3,09;105,5555556;4,659237407
1997;4;15;22;11.550;880,00;6,78;9,35;3,09;76,19047619;4,333236471
1998;1;9;25,3;3.700;160,00;5,08;8,22;3,23;43,24324324;3,766840996
1998;1;14;22,9;1.000;150,00;5,01;6,91;3,13;150;5,010635294
1998;1;15;25;2.000;80,00;4,38;7,6;3,22;40;3,688879454
1998;2;9;21,2;3.400;47,00;3,85;8,13;3,05;13,82352941;2,62637217
1998;2;14;21,2;2.100;300,00;5,70;7,65;3,05;142,8571429;4,96184513
1998;2;15;22,5;6.000;470,00;6,15;8,7;3,11;78,33333333;4,360973225
1998;3;9;20,6;2.150;85,00;4,44;7,67;3,02;39,53488372;3,677183414
1998;3;14;19,4;26.128;6672,00;8,81;10,17;2,97;255,3582364;5,542667408
1998;3;15;18,9;5.430;253,00;5,53;8,6;2,94;46,59300184;3,841450355
1998;4;9;22,1;2.850;162,00;5,09;7,96;3,1;56,84210526;4,040277341
1998;4;14;18,6;3.800;474,00;6,16;8,24;2,92;124,7368421;4,826206255
1998;4;15;20,3;2.850;753,00;6,62;7,96;3,01;264,2105263;5,576746234
1999;2;9;20,6;4.400;280,00;5,63;8,39;3,03;63,63636364;4,153185062
1999;2;14;19,5;3.000;106,00;4,66;8,01;2,97;35,33333333;3,564826805
1999;2;15;18,7;3.750;143,00;4,96;8,23;2,93;38,13333333;3,64108879
1999;3;9;20,2;12.185;1218,00;7,10;9,41;3,01;99,95896594;4,604759761
1999;3;14;16,9;14.010;1729,00;7,46;9,55;2,82;123,4118487;4,815527125
1999;3;15;18,9;1.980;120,00;4,79;7,59;2,94;60,60606061;4,104394898
1999;4;9;22;2.400;495,00;6,20;7,78;3,09;206,25;5,329089025
1999;4;14;18,4;2.325;165,00;5,11;7,75;2,91;70,96774194;4,262225435
2000;2;15;21;1.000;15,00;2,71;6,91;3,04;15;2,708050201
2000;3;9;22,2;9.000;500,00;6,21;9,1;3,1;55,55555556;4,017383521
2000;3;14;17,2;17.550;9399,00;9,15;9,77;2,85;535,5555556;6,28330463
2000;3;15;19,3;7.800;1780,00;7,48;8,96;2,96;228,2051282;5,43024491
2000;4;9;23,3;10.000;510,00;6,23;9,21;3,15;51;3,931825633
2000;4;14;20,4;10.000;820,00;6,71;9,21;3,01;82;4,406719247
2000;4;15;23,5;33.900;4325,00;8,37;10,43;3,16;127,5811209;4,848752405
2001;1;14;26,7;1000;150,00;5,01;6,91;3,29;150;5,010635294
2001;1;15;26,5;11.000;590,00;6,38;9,31;3,28;53,63636364;3,982227264
2001;2;9;23,2;13.820;775,00;6,65;9,53;3,15;56,07814761;4,026746211
2001;2;14;22,6;18.810;2440,00;7,80;9,84;3,12;129,718235;4,865364675
2001;2;15;24,3;11.080;395,00;5,98;9,31;3,19;35,64981949;3,573744084
2001;3;9;22,1;13.190;805,00;6,69;9,49;3,09;61,03108415;4,111383311
2001;3;14;19,4;40.690;7232,00;8,89;10,61;2,97;177,734087;5,18028854
2001;3;15;20,7;45.750;7341,00;8,90;10,73;3,03;160,4590164;5,07803856
2001;4;9;22,6;2.200;270,00;5,60;7,7;3,12;122,7272727;4,809964599
2001;4;14;22,7;7.100;1080,00;6,98;8,87;3,12;152,1126761;5,024621536
2001;4;15;23,8;28.000;4364,00;8,38;10,24;3,17;155,8571429;5,048939837
